iter	Passed	Remaining
0	67	13436
1	104	10382	2	159	1043	23	206	1044	251	9790555	337	1096	66	398	1097	77	473	1138	58	509	1089	99	573	10810110	630	1083611	717	11212	112	762	1013	113	819	1014	14	903	11115	115	983	1116	116	1047	1117	17	1121	11318	18	1153	10919	19	1209	10820	20	1242	10590
21	1285	10404
22	1325	10200
23	1362	9988
24	1423	9967
25	1455	9741
26	1513	9700
27	1552	9536
28	1603	9453
29	1637	9277
30	1685	9187
31	1733	9099
32	1776	8990
33	1826	8915
34	1861	8777
35	1935	8816
36	1999	8806
37	2061	8789
38	2133	8807
39	2193	8772
40	2283	8856
41	2335	8785
42	2405	8782
43	2460	8722
44	2514	8660
45	2574	8618
46	2635	8579
47	2697	8543
48	2764	8519
49	2810	8431
50	2878	8411
51	2923	8321
52	2974	8248
53	3021	8169
54	3066	8085
55	3115	8010
56	3194	8014
57	3244	7943
58	3314	7921
59	3362	7845
60	3412	7776
61	3463	7709
62	3515	7644
63	3575	7598
64	3642	7566
65	3695	7502
66	3745	7434
67	3797	7371
68	3842	7295
69	3888	7220
70	3918	7119
71	3966	7051
72	4014	6983
73	4060	6913
74	4105	6842
75	4167	6799
76	4215	6733
77	4257	6659
78	4314	6608
79	4360	6541
80	4408	6475
81	4477	6443
82	4538	6397
83	4596	6347
84	4655	6298
85	4704	6236
86	4754	6175
87	4796	6104
88	4853	6052
89	4901	5991
90	4959	5940
91	5012	5884
92	5063	5825
93	5114	5767
94	5150	5692
95	5210	5645
96	5259	5584
97	5315	5532
98	5376	5484
99	5443	5443
100	5500	5391
101	5558	5340
102	5608	5281
103	5655	5220
104	5723	5178
105	5781	5127
106	5842	5078
107	5885	5013
108	5939	4958
109	6002	4911
110	6051	4851
111	6091	4786
112	6137	4725
113	6195	4673
114	6242	4613
115	6285	4551
116	6327	4488
117	6384	4436
118	6434	4380
119	6485	4323
120	6527	4262
121	6578	4206
122	6623	4146
123	6676	4092
124	6726	4035
125	6769	3975
126	6809	3913
127	6867	3862
128	6905	3800
129	6966	3751
130	7010	3692
131	7045	3629
132	7085	3569
133	7131	3512
134	7194	3464
135	7245	3409
136	7282	3349
137	7322	3289
138	7368	3233
139	7408	3175
140	7450	3117
141	7491	3059
142	7547	3008
143	7595	2953
144	7638	2897
145	7708	2851
146	7761	2798
147	7820	2747
148	7897	2703
149	7957	2652
150	8014	2600
151	8078	2551
152	8133	2498
153	8213	2453
154	8265	2399
155	8308	2343
156	8344	2285
157	8392	2230
158	8437	2175
159	8492	2123
160	8556	2072
161	8619	2021
162	8682	1970
163	8733	1917
164	8779	1862
165	8837	1810
166	8887	1756
167	8941	1703
168	8981	1647
169	9020	1591
170	9058	1536
171	9093	1480
172	9131	1425
173	9179	1371
174	9206	1315
175	9238	1259
176	9270	1204
177	9303	1149
178	9328	1094
179	9359	1039
180	9385	985
181	9414	931
182	9439	876
183	9466	823
184	9489	769
185	9513	716
186	9528	662
187	9543	609
188	9559	556
189	9574	503
190	9591	451
191	9606	400
192	9621	348
193	9636	298
194	9652	247
195	9668	197
196	9687	147
197	9702	98
198	9717	48
199	9733	0
